question_id,question,model_answer,evaluation_criteria
Q44,Evaluate the Business Value Chain Model and explain how information systems improve competitive positioning at both primary and support activity levels.,"• Value Chain Model Defined: A framework identifying primary activities (inbound logistics, operations, outbound logistics, marketing/sales, service) and support activities (infrastructure, HR, technology, procurement) where firms create value.
• IS in Primary Activities: ERP systems optimise inbound/outbound logistics; e-commerce platforms improve sales and customer service; automated operations management reduces production costs.
• IS in Support Activities: HR systems streamline talent management; procurement IS improves supplier sourcing efficiency; technology infrastructure investment reduces firm-wide operational costs.
• Competitive Advantage: Firms achieve competitive advantage where IS improvements lower costs or improve differentiation more effectively than competitors — not through IS investment per se, but through superior implementation aligned with strategy.
• Critical Evaluation: Value chain analysis must extend beyond firm boundaries to include the value webs of suppliers, partners, and customers — isolated internal improvements may be offset by upstream/downstream inefficiencies.",
Q45,Critically evaluate the concept of the Value Web and assess how it extends the traditional Value Chain model to achieve industry-level strategic advantage.,"• Value Web Defined: An extension of the value chain model recognising that firms operate within a network of interconnected value chains — with suppliers, distributors, customers, and partners — that collectively determine competitive positioning.
• Extension Beyond Firm Boundaries: The Value Web acknowledges that a firm's competitive advantage depends not only on its internal IS capabilities but on the quality and integration of IS across its entire ecosystem.
• IS-Enabled Value Web Coordination: Internet-based IS enable real-time synchronisation with suppliers (EDI, SCM platforms), partners, and customers, creating coordinated, responsive networks.
• Strategic Implication: Firms that build tightly integrated digital value webs with partners gain collective efficiency advantages that are extremely difficult for competitors to replicate individually.
• Critical Evaluation: Value web integration creates interdependency risks — disruptions in one part of the network (supplier IS failure, cyberattack) cascade across all connected partners; resilience planning becomes essential.",
Q46,Evaluate how Transaction Cost Theory explains the impact of information systems on organisational size and structure.,"• Transaction Cost Theory Defined: Firms exist because organising transactions internally (within the firm) is sometimes cheaper than transacting in open markets, due to search, negotiation, and enforcement costs.
• IS Reducing Internal Transaction Costs: ERP and collaboration systems reduce the costs of coordinating internal activities — communication, monitoring, and information sharing — allowing firms to transact at lower cost.
• IS Reducing External Transaction Costs: E-procurement, supply chain platforms, and digital marketplaces reduce the cost of finding, evaluating, and contracting with external suppliers and partners.
• Implication for Firm Boundaries: As IS reduce external transaction costs, firms can outsource more activities (virtual firms), relying on markets rather than internal production — shifting optimal firm boundaries.
• Critical Evaluation: Transaction cost theory does not capture all dimensions of IS value — trust, knowledge creation, and competitive differentiation are important drivers of IS investment beyond pure transaction cost minimisation.",
Q47,"Evaluate synergies, core competencies, and network-based strategies as three IS-enabled approaches to achieving competitive advantage.","• Synergies: IS enables different business units to share resources, data, and capabilities, creating value greater than the sum of individual parts (e.g., shared CRM data across product divisions improving cross-selling).
• Core Competencies: IS helps organisations identify, develop, and exploit unique capabilities that competitors cannot easily replicate — e.g., Amazon's logistics IS as a distinctive competence serving both retail and AWS.
• Network-Based Strategies: IS enables network effects — platforms gain value as more users join (e.g., eBay, Uber), creating winner-takes-all competitive dynamics where dominant platforms become increasingly entrenched.
• Virtual Company Strategy: IS enables firms to access external capabilities on demand (outsourcing, alliances, platforms), reducing the need for internal ownership of all competencies.
• Critical Evaluation: These strategies are not mutually exclusive — the most successful digital firms combine network effects, core competency reinforcement through IS, and synergy exploitation across business units simultaneously.",
Q48,"Evaluate the organisational and behavioural impacts of information systems, focusing on IT's role in flattening organisations and overcoming resistance to change.","• Positive Organisational Impact: IS can flatten hierarchies, increase management spans of control, empower front-line decision-making, and accelerate information flows across organisational boundaries.
• Negative Organisational Impact: IS may also reinforce centralisation — managers use real-time data access to increase monitoring and control of employees, reducing autonomy and increasing surveillance concerns.
• Behavioural Impact — Resistance: Employees resist IS implementations that threaten their roles, redistribute power, or require significant behaviour change without adequate training, consultation, or incentives.
• Behavioural Impact — Cultural Change: IS can shift organisational culture by embedding new workflows, collaboration norms, and performance metrics that gradually reshape collective behaviour over time.
• Critical Evaluation: The impact of IS is not deterministic — identical technology produces different outcomes in different organisational contexts depending on power dynamics, culture, and management approach; sociotechnical design that incorporates human factors is essential.",
Q49,Evaluate the strategic challenges firms face when attempting to sustain competitive advantage through information systems.,"• Competitive Advantage Erosion: IS-enabled advantages tend to be temporary — competitors observe and replicate successful IS strategies over time, eroding first-mover benefits.
• Speed of Technological Change: The rapid pace of IS innovation means competitive advantages built on current technology may be rendered obsolete by the next technology generation.
• Imitation Risk: Unlike physical assets, IS capabilities are often visible and transferable — competitors can purchase the same software platforms and hardware, reducing the uniqueness of IS-based advantages.
• Sustaining Advantage: Sustained competitive advantage from IS depends on complementary assets (processes, culture, skills) that are harder to replicate than the technology itself.
• Critical Evaluation: Truly sustainable IS advantage arises from unique combinations of technology, organisational process, and human capital — not from technology alone; firms must continuously innovate rather than defend static IS positions.",
Q50,Evaluate how the Internet has transformed organisational structure and competitive dynamics according to the frameworks discussed in Lesson 3.,"• Reduced Market Entry Barriers: The Internet dramatically lowers the cost and complexity of entering markets, intensifying competitive rivalry as new digital entrants challenge established incumbents.
• Disintermediation and New Intermediaries: The Internet enables firms to sell directly to customers, eliminating traditional middlemen, while simultaneously creating powerful new digital intermediaries (e.g., Amazon, Google).
• Universal Standards: Internet-based communication standards reduce the cost of integrating suppliers and partners into digital value chains, enabling smaller firms to participate in global networks previously accessible only to large corporations.
• New Organisational Forms: The Internet enables virtual organisations, platform business models, and global value webs that replace traditional hierarchical, geographically bounded organisational structures.
• Critical Evaluation: While the Internet reduces some barriers and costs, it also intensifies price competition, reduces margins in many industries, and shifts competitive advantage toward firms that control platform standards and data accumulation.",
Q51,Evaluate the role of Enterprise Resource Planning (ERP) systems in resolving data fragmentation within a large organization. Justify your answer with examples.,"• Data Fragmentation Problem: Legacy organisations operated with separate, incompatible databases for each functional department, creating inconsistent, duplicated data that impeded firm-wide visibility and coordination.
• ERP Solution — Unified Database: ERP systems replace fragmented databases with a single integrated data model shared across finance, HR, manufacturing, supply chain, and sales.
• Process Integration: ERP automates cross-functional workflows — a customer order automatically triggers inventory checks, production scheduling, and accounts receivable updates without manual re-entry.
• Organisational Efficiency: Real-time firm-wide data access improves decision-making speed and quality; eliminates duplicate data entry; reduces reconciliation effort between departments.
• Critical Evaluation: ERP implementation is expensive, disruptive, and requires significant business process redesign; organisations must adapt their processes to the ERP's best-practice workflows or accept costly customisation.",
Q52,"Critically evaluate the business value that enterprise systems provide to organizations. In your answer, consider both operational and strategic dimensions.","• Firm-Wide Information Access: Enterprise systems create a unified IT infrastructure providing managers with real-time, accurate information across all business functions, eliminating data silos.
• Process Coordination: Enterprise systems synchronise activities across departments — a single transaction in one module automatically updates related processes across the organisation.
• Operational Efficiency: Automation of cross-functional workflows reduces manual effort, eliminates redundant data entry, and accelerates business processes from procurement to customer service.
• Analytical and Decision-Support Capability: Enterprise systems provide performance dashboards, forecasting tools, and analytical models that support evidence-based strategic and operational decisions.
• Critical Evaluation: Enterprise system value is not automatic — it requires sustained investment in business process redesign, training, and change management; the business case depends on effective implementation, not merely deployment.",
Q53,Explain the bullwhip effect in supply chains. Evaluate the role of information systems in mitigating this phenomenon.,"• Bullwhip Effect Defined: The amplification of demand variability as orders move upstream in a supply chain — small fluctuations in consumer demand create increasingly large swings in supplier orders at each upstream stage.
• Cause: Each supply chain participant adds safety stock based on imperfect demand forecasts, creating cumulative demand distortion that worsens at each upstream tier.
• IS Solution — Demand Visibility: Shared POS and inventory data systems give all supply chain participants real-time visibility of actual consumer demand, reducing forecast uncertainty and safety stock requirements.
• IS Solution — Collaborative Planning: VMI (vendor-managed inventory) and CPFR systems enable suppliers and retailers to jointly plan and respond to actual demand signals rather than distorted order signals.
• Critical Evaluation: IS solutions to the bullwhip effect depend on trust and data sharing between supply chain partners — organisational and contractual barriers often prevent the transparency required for full bullwhip mitigation.",
Q54,Compare and contrast push-based and pull-based supply chain models. Under what conditions would each model be most appropriate?,"• Push-Based Model: Supply chain driven by long-range demand forecasts — production and inventory decisions made in advance of actual customer orders; efficient for stable, predictable demand but creates excess inventory risk.
• Pull-Based Model: Supply chain driven by actual real-time customer demand signals — production and replenishment triggered by confirmed orders; reduces inventory but requires highly responsive supply chain capabilities.
• IS Enabling Pull: Internet-enabled SCM systems, real-time POS data sharing, and VMI enable organisations to implement pull-based models at scale — the 'demand-driven supply chain'.
• Appropriate Conditions: Push suits commodity products with stable demand and long lead times; pull suits high-variety, short-lifecycle, or demand-volatile products where inventory risk is high.
• Critical Evaluation: Most organisations use hybrid push-pull models, with the decoupling point (push-pull boundary) determined by product characteristics, lead times, and supply chain responsiveness capabilities.",
Q55,Evaluate how internet technologies have transformed global supply chain management. What challenges remain despite these advancements?,"• Real-Time Global Visibility: Internet-based SCM platforms provide real-time visibility of inventory levels, shipment status, and demand signals across globally distributed supply chain partners.
• Lower Communication Costs: Internet standards (EDI over IP, XML, APIs) dramatically reduce the cost of integrating supplier and logistics systems, enabling seamless global data exchange at near-zero marginal cost.
• Agility and Responsiveness: Internet technologies enable supply chains to sense and respond to disruptions (demand shocks, supplier failures) faster by sharing information instantaneously across all partners.
• New Supply Chain Configurations: The Internet enables global sourcing networks, 3PL integration, and drop-shipping models that were operationally impractical before digital connectivity.
• Critical Evaluation: Internet-enabled supply chain integration creates cyber-vulnerability — a single security breach or system failure in one partner can cascade across the entire network; resilience and cybersecurity investment are essential counterweights to digital supply chain efficiency.",
Q56,Evaluate the difference between operational CRM and analytical CRM. How does each type contribute to improving customer relationships?,"• Operational CRM: Systems that support customer-facing business processes — sales force automation, marketing campaign management, and customer service management; directly manages customer interactions.
• Analytical CRM: Systems that analyse customer data captured by operational CRM to identify customer segments, lifetime value, purchasing patterns, and behaviour predictions to support strategic decisions.
• How Each Adds Value — Operational: Automates routine customer interactions (follow-ups, service tickets), improves sales team productivity, and ensures consistent customer experience across touchpoints.
• How Each Adds Value — Analytical: Provides data-driven insights enabling personalised marketing, churn prediction, cross-selling opportunities, and evidence-based customer acquisition strategies.
• Critical Evaluation: Operational and analytical CRM are mutually dependent — operational CRM without analytical processing generates underutilised data; analytical CRM without quality operational data produces unreliable insights; integrated deployment maximises value.",
Q57,A retail bank is considering implementing a CRM system. Evaluate the potential business value it could derive from this investment.,"• Benefits of CRM for Retail Bank: Unified customer view across all banking products (current account, mortgage, savings, loans) enabling personalised service and targeted cross-selling opportunities.
• Customer Retention: Analytical CRM identifies at-risk customers (e.g., declining transaction activity, competitor product interest), enabling proactive retention interventions before customer churn occurs.
• Improved Service Efficiency: Operational CRM provides call centre agents with complete customer history, reducing average handling time and improving first-contact resolution rates.
• Marketing Effectiveness: CRM enables segmented, personalised marketing campaigns based on customer lifecycle stage, product holding, and behavioural data — improving campaign ROI versus mass marketing.
• Implementation Challenges: Data privacy regulations (GDPR) constrain the use of customer data; integrating CRM with legacy banking IS is technically complex; staff resistance and training requirements must be managed carefully.",
Q58,Critically evaluate the major challenges organizations face when implementing enterprise applications such as ERP and CRM systems.,"• High Costs and Extended Timelines: Enterprise system implementations are expensive and time-consuming, often requiring years and significant financial investment with uncertain ROI timelines.
• Business Process Redesign: Organisations must adapt existing processes to system requirements or invest heavily in customisation — both options are costly, disruptive, and carry significant implementation risk.
• Data Migration Complexity: Consolidating, cleansing, and migrating data from legacy systems into the new enterprise system is technically demanding and prone to data quality errors that undermine system credibility.
• Organisational Resistance: Employees resist changes to established workflows, role definitions, and reporting structures; without effective change management and executive sponsorship, adoption rates remain low.
• Critical Evaluation: Enterprise system implementation failures are predominantly organisational rather than technical — inadequate change management, unrealistic expectations, and insufficient executive commitment are the primary drivers of project failure.",
Q59,Evaluate how next-generation enterprise applications are addressing the limitations of traditional enterprise systems. Include Social CRM and Business Intelligence in your answer.,"• Cloud Deployment: Next-generation enterprise applications offered as SaaS reduce upfront capital investment, enable faster deployment, and shift infrastructure management to vendors — lowering the total cost of ownership.
• Mobile and Social Integration: Modern enterprise applications integrate mobile access and social collaboration tools, enabling real-time field access and cross-functional communication beyond traditional office environments.
• Open APIs and Ecosystem Integration: Next-generation systems use open APIs to integrate with third-party applications, partners, and digital marketplaces — addressing the rigidity of traditional monolithic enterprise systems.
• Analytics and AI Embedding: Modern enterprise platforms embed advanced analytics, machine learning, and AI capabilities directly into workflows, enabling real-time intelligent decision support rather than retrospective reporting.
• Critical Evaluation: Cloud and SaaS models introduce new risks — vendor dependency, data sovereignty concerns, and connectivity requirements; organisations must carefully balance agility gains against these strategic risks.",
Q60,A chain of fast food restaurants such as Burger King is considering using a CRM system. Evaluate TWO specific ways this could lead to better business outcomes.,"• CRM Value for Fast Food Chain: Captures customer purchasing behaviour data across outlets, enabling personalised promotions, loyalty programme management, and targeted marketing to identified customer segments.
• Operational Benefits: Streamlines customer feedback management, complaint resolution, and service consistency monitoring across franchise locations — improving brand standards at scale.
• Marketing Effectiveness: Analytical CRM enables the chain to identify high-value customer segments, optimise promotional spend, personalise digital marketing through app and loyalty card data.
• Customer Loyalty: CRM-powered loyalty programmes (e.g., Burger King Royal Perkins app) increase repeat visit frequency and average transaction value through personalised reward incentives.
• Implementation Considerations: Data privacy compliance (GDPR) for loyalty programme data; integration with POS systems across franchise locations; training front-line staff on CRM-informed customer service protocols; measuring ROI on CRM investment through customer lifetime value improvements.",
